DROP,%UNWEIGHTED ILI
1087,2.311
1088,3.90684
1089,1.57421
1090,1.31985
1091,2.59335
1092,1.52508
1093,1.17213
1094,2.02857
1095,0.187926
1096,1.97331
1097,3.89749
1098,1.23258
1099,1.3588
1100,2.20815
1101,1.22878
1102,0.911036
1103,3.95978
1104,0.0809436
1105,1.41132
1106,4.1498
1107,0.681007
1108,1.04606
1109,1.50741
1110,0.656637
1111,0.780362
1112,3.41677
1113,0.0369914
1114,1.36613
1115,4.70367
1116,0.840815
1117,1.15171
1118,1.55744
1119,0.865052
1120,0.728708
1121,3.75815
1122,0.0742023
1123,1.35708
1124,3.09789
1125,0.490248
1126,0.895037
1127,1.10969
1128,0.720339
1129,0.593678
1130,4.95229
1131,0.0245821
1132,1.49075
1133,1.43386
1134,0.488918
1135,0.805096
1136,0.960276
1137,0.844107
1138,0.509655
1139,4.6425
1140,0.265957
1141,1.10516
1142,2.35131
1143,0.545033
1144,0.702097
1145,0.521777
1146,0.708094
1147,0.51904
1148,3.72517
1149,0.502934
1150,1.11804
1151,2.20126
1152,0.457038
1153,0.837404
1154,0.609756
1155,0.505823
1156,0.359679
1157,3.86665
1158,0.487805
1159,1.15794
1160,2.46273
1161,0.203097
1162,0.704019
1163,0.414583
1164,0.585106
1165,0.359806
1166,3.14994
1167,0.169492
1168,0.877387
1169,2.44073
1170,0.382241
1171,0.78637
1172,0.398925
1173,0.466853
1174,0.313324
1175,3.26149
1176,0
1177,0.818611
1178,1.49935
1179,0.415576
1180,0.910574
1181,0.389123
1182,0.491504
1183,0.364103
1184,3.37026
1185,1.01471
1186,0.599492
1187,1.80602
1188,0.685733
1189,0.492341
1190,0.249748
1191,0.723473
1192,0.474568
1193,3.06046
1194,0.531915
1195,0.218731
1196,1.0355
1197,0.590139
1198,1.17048
1199,0.943723
1200,1.57566
1201,0.723676
1202,1.03292
1203,0.283381
1204,1.27437
1205,1.81361
1206,0.722022
1207,1.23256
1208,1.12191
1209,1.09681
1210,0.973569
1211,1.24807
1212,0.659196
1213,1.10792
1214,2.00422
1215,0.893977
1216,1.18584
1217,1.13738
1218,1.07555
1219,0.998912
1220,1.23146
1221,0.438596
1222,1.27839
1223,2.59708
1224,0.93449
1225,1.588
1226,1.40638
1227,1.23871
1228,0.950095
1229,1.25549
1230,0.440762
1231,1.28327
1232,2.36595
1233,0.803952
1234,1.32165
1235,1.31811
1236,1.43885
1237,1.15214
1238,2.41259
1239,0.436575
1240,1.11201
1241,2.824
1242,0.732533
1243,1.47175
1244,1.56102
1245,1.13077
1246,1.02213
1247,1.40617
1248,0.43238
1249,1.06658
1250,2.08002
1251,0.495026
1252,1.3816
1253,1.38805
1254,1.10171
1255,0.977444
1256,1.3678
1257,0.436191
1258,1.48399
1259,4.72034
1260,0.776928
1261,1.38366
1262,1.70583
1263,1.25298
1264,0.868844
1265,1.48324
1266,0.102715
1267,1.85161
1268,4.13553
1269,0.703913
1270,1.34407
1271,1.63086
1272,1.14189
1273,0.857152
1274,1.46938
1275,1.53257
1276,1.49918
1277,3.79747
1278,0.713113
1279,1.37938
1280,1.52836
1281,0.938929
1282,0.784339
1283,1.10832
1284,0.322884
1285,1.59124
1286,3.2254
1287,0.821291
1288,1.22108
1289,1.47333
1290,1.00956
1291,0.832033
1292,0.948905
1293,0.163488
1294,1.71671
1295,3.16576
1296,0.738391
1297,1.28026
1298,1.85637
1299,1.09067
1300,1.00394
1301,1.3946
1302,1.45392
1303,2.04056
1304,3.50195
1305,1.3342
1306,1.94514
1307,2.43982
1308,1.08115
1309,1.6872
1310,2.04193
1311,1.03116
1312,2.79888
1313,4.21073
1314,1.18976
1315,2.07747
1316,2.38027
1317,0.93902
1318,1.46897
1319,1.42635
1320,0.148588
1321,2.42374
1322,3.98445
1323,1.22868
1324,1.76851
1325,1.67528
1326,1.20472
1327,1.33551
1328,1.46843
1329,0.358761
1330,2.13644
1331,3.72679
1332,1.29131
1333,2.58359
1334,1.78276
1335,1.16402
1336,2.07123
1337,2.20149
1338,1.59487
1339,2.51249
1340,3.89645
1341,1.60523
1342,4.43878
1343,2.3923
1344,2.15561
1345,3.05862
1346,2.01342
1347,0.58639
1348,3.98147
1349,3.90043
1350,2.56854
1351,3.97015
1352,2.44919
1353,2.86892
1354,2.44186
1355,2.15403
1356,2.50779
1357,3.78416
1358,4.11858
1359,2.51098
1360,2.68409
1361,2.82726
1362,3.17523
1363,2.3522
1364,2.84421
1365,1.44352
1366,4.20723
1367,4.06843
1368,2.86798
1369,2.50576
1370,3.52217
1371,3.75375
1372,2.50305
1373,2.59084
1374,1.33871
1375,3.70867
1376,5.44704
1377,2.36262
1378,2.21303
1379,3.76047
1380,3.20729
1381,2.34724
1382,2.8583
1383,1.77116
1384,4.19509
1385,4.50008
1386,1.70911
1387,2.22091
1388,3.54605
1389,2.75887
1390,1.90151
1391,3.15368
1392,2.73651
1393,2.96661
1394,4.33951
1395,0.890174
1396,1.82897
1397,2.59178
1398,2.46684
1399,1.54675
1400,2.07334
1401,1.62798
1402,2.51072
1403,4.76877
1404,0.763035
1405,2.03678
1406,2.21989
1407,1.59079
1408,1.43874
1409,1.8776
1410,1.82482
1411,2.16647
1412,4.67336
1413,0.76265
1414,1.82016
1415,2.14931
1416,1.42987
1417,0.967125
1418,1.30112
1419,0.792231
1420,1.79232
1421,3.92459
1422,0.652118
1423,1.28619
1424,2.01986
1425,0.95355
1426,0.690572
1427,0.955189
1428,0.624164
1429,1.76664
1430,5.22096
1431,0.749436
1432,1.17097
1433,1.56499
1434,1.13668
1435,0.81227
1436,1.13331
1437,0.386451
1438,1.12323
1439,2.95343
1440,0.533171
1441,0.918619
1442,1.01028
1443,0.91352
1444,0.618925
1445,0.135318
1446,1.48011
1447,1.03782
1448,2.03995
1449,0.690189
1450,0.781056
1451,0.881418
1452,0.890448
1453,0.564815
1454,0.0528681
