DROP,REGION,YEAR,WEEK
765,0,2000,6
766,1,2000,6
767,2,2000,6
768,3,2000,6
769,4,2000,6
770,5,2000,6
771,6,2000,6
772,7,2000,6
773,8,2000,6
774,0,2000,7
775,1,2000,7
776,2,2000,7
777,3,2000,7
778,4,2000,7
779,5,2000,7
780,6,2000,7
781,7,2000,7
782,8,2000,7
783,0,2000,8
784,1,2000,8
785,2,2000,8
786,3,2000,8
787,4,2000,8
788,5,2000,8
789,6,2000,8
790,7,2000,8
791,8,2000,8
792,0,2000,9
793,1,2000,9
794,2,2000,9
795,3,2000,9
796,4,2000,9
797,5,2000,9
798,6,2000,9
799,7,2000,9
800,8,2000,9
801,0,2000,10
802,1,2000,10
803,2,2000,10
804,3,2000,10
805,4,2000,10
806,5,2000,10
807,6,2000,10
808,7,2000,10
809,8,2000,10
810,0,2000,11
811,1,2000,11
812,2,2000,11
813,3,2000,11
814,4,2000,11
815,5,2000,11
816,6,2000,11
817,7,2000,11
818,8,2000,11
819,0,2000,12
820,1,2000,12
821,2,2000,12
822,3,2000,12
823,4,2000,12
824,5,2000,12
825,6,2000,12
826,7,2000,12
827,8,2000,12
828,0,2000,13
829,1,2000,13
830,2,2000,13
831,3,2000,13
832,4,2000,13
833,5,2000,13
834,6,2000,13
835,7,2000,13
836,8,2000,13
837,0,2000,14
838,1,2000,14
839,2,2000,14
840,3,2000,14
841,4,2000,14
842,5,2000,14
843,6,2000,14
844,7,2000,14
845,8,2000,14
846,0,2000,15
847,1,2000,15
848,2,2000,15
849,3,2000,15
850,4,2000,15
851,5,2000,15
852,6,2000,15
853,7,2000,15
854,8,2000,15
855,0,2000,16
856,1,2000,16
857,2,2000,16
858,3,2000,16
859,4,2000,16
860,5,2000,16
861,6,2000,16
862,7,2000,16
863,8,2000,16
864,0,2000,17
865,1,2000,17
866,2,2000,17
867,3,2000,17
868,4,2000,17
869,5,2000,17
870,6,2000,17
871,7,2000,17
872,8,2000,17
873,0,2000,18
874,1,2000,18
875,2,2000,18
876,3,2000,18
877,4,2000,18
878,5,2000,18
879,6,2000,18
880,7,2000,18
881,8,2000,18
882,0,2000,19
883,1,2000,19
884,2,2000,19
885,3,2000,19
886,4,2000,19
887,5,2000,19
888,6,2000,19
889,7,2000,19
890,8,2000,19
891,0,2000,20
892,1,2000,20
893,2,2000,20
894,3,2000,20
895,4,2000,20
896,5,2000,20
897,6,2000,20
898,7,2000,20
899,8,2000,20
900,0,2000,40
901,1,2000,40
902,2,2000,40
903,3,2000,40
904,4,2000,40
905,5,2000,40
906,6,2000,40
907,7,2000,40
908,8,2000,40
909,0,2000,41
910,1,2000,41
911,2,2000,41
912,3,2000,41
913,4,2000,41
914,5,2000,41
915,6,2000,41
916,7,2000,41
917,8,2000,41
918,0,2000,42
919,1,2000,42
920,2,2000,42
921,3,2000,42
922,4,2000,42
923,5,2000,42
924,6,2000,42
925,7,2000,42
926,8,2000,42
927,0,2000,43
928,1,2000,43
929,2,2000,43
930,3,2000,43
931,4,2000,43
932,5,2000,43
933,6,2000,43
934,7,2000,43
935,8,2000,43
936,0,2000,44
937,1,2000,44
938,2,2000,44
939,3,2000,44
940,4,2000,44
941,5,2000,44
942,6,2000,44
943,7,2000,44
944,8,2000,44
945,0,2000,45
946,1,2000,45
947,2,2000,45
948,3,2000,45
949,4,2000,45
950,5,2000,45
951,6,2000,45
952,7,2000,45
953,8,2000,45
954,0,2000,46
955,1,2000,46
956,2,2000,46
957,3,2000,46
958,4,2000,46
959,5,2000,46
960,6,2000,46
961,7,2000,46
962,8,2000,46
963,0,2000,47
964,1,2000,47
965,2,2000,47
966,3,2000,47
967,4,2000,47
968,5,2000,47
969,6,2000,47
970,7,2000,47
971,8,2000,47
972,0,2000,48
973,1,2000,48
974,2,2000,48
975,3,2000,48
976,4,2000,48
977,5,2000,48
978,6,2000,48
979,7,2000,48
980,8,2000,48
981,0,2000,49
982,1,2000,49
983,2,2000,49
984,3,2000,49
985,4,2000,49
986,5,2000,49
987,6,2000,49
988,7,2000,49
989,8,2000,49
990,0,2000,50
991,1,2000,50
992,2,2000,50
993,3,2000,50
994,4,2000,50
995,5,2000,50
